,domain,ip
0,instagram.com,31.13.82.174
0,instagram.com,157.240.209.174
0,instagram.com,157.240.235.174
0,instagram.com,31.13.75.174
0,instagram.com,157.240.3.174
0,www.instagram.com,31.13.82.174
0,www.instagram.com,157.240.209.174
0,www.instagram.com,157.240.13.174
0,www.instagram.com,31.13.75.174
0,www.instagram.com,157.240.3.174
0,i.instagram.com,31.13.82.52
0,i.instagram.com,157.240.209.63
0,i.instagram.com,157.240.13.52
0,i.instagram.com,31.13.75.63
0,i.instagram.com,157.240.3.63
0,graph.instagram.com,157.240.209.63
0,graph.instagram.com,157.240.13.52
0,graph.instagram.com,31.13.75.63
0,graph.instagram.com,31.13.82.52
0,graph.instagram.com,157.240.3.63
